team_year,track,region
Bangalore_2007,Foundational Research,Asia
UMD_2007,Undefined,--Specify Region--
Glasgow_2007,Environment,--Specify Region--
Turkey_2007,Environment,--Specify Region--
Naples_2007,Environment,--Specify Region--
Glasgow_2007,Environment,--Specify Region--
Missouri_Miners_2007,Energy,--Specify Region--
Naples_2007,Environment,--Specify Region--
Dundee_2007,Undefined,--Specify Region--
Cape_Peninsula_2007,Undefined,--Specify Region--
Wisconsin_2007,Foundational Research,US
Bologna_2007,Foundational Research,--Specify Region--
Virginia_2007,Energy,US
Virginia_Tech_2007,Medical,US
CSHL_2007,Foundational Research,--Specify Region--
CSHL_2007,Foundational Research,--Specify Region--
Southern_Utah_2007,Environment,US
Saint_Petersburg_2007,Environment,US
UCSF_2007,Information Processing,US
Purdue_2007,Foundational Research,US
Penn_State_2007,Energy,US
Penn_State_2007,Energy,US
Mississippi_State_2007,Energy,US
Rice_2007,Medical,US
Prairie_View_2007,Environment,US
Minnesota_2007,Undefined,US
chicago_2007,Undefined,US
Duke_2007,Foundational Research,US
Harvard_2007,Foundational Research,US
Michigan_2007,Foundational Research,US
Davidson_Missouri_W_2007,Information Processing,US
Caltech_2007,Foundational Research,US
Brown_2007,Environment,US
Berkeley_UC_2007,Medical,US
Mexico_2007,Information Processing,Latin America
Berkeley_LBL_2007,Energy,US
Valencia_2007,Foundational Research,Europe
Colombia_Israel_2007,Environment,Latin America
Bay_Area_RSI_2007,Medical,US
Imperial_2007,Medical,Europe
Paris_2007,Foundational Research,Europe
ETHZ_2007,Information Processing,Europe
Edinburgh_2007,Foundational Research,Europe
Cambridge_2007,Foundational Research,Europe
Freiburg_2007,Foundational Research,Europe
Waterloo_2007,Information Processing,Canada
McGill_2007,Foundational Research,Canada
Toronto_2007,Information Processing,Canada
Alberta_2007,Energy,Canada
Tsinghua_2007,Information Processing,Asia
Lethbridge_2007,Environment,Canada
Calgary_2007,Foundational Research,Canada
Tokyo_Tech_2007,Foundational Research,Asia
Calgary_2007,Foundational Research,Canada
Tianjin_2007,Information Processing,Asia
Peking_2007,Information Processing,Asia
Melbourne_2007,Medical,Asia
CPU_2007,Undefined,Asia
Chiba_2007,Foundational Research,Asia
