team_year,track,region
UMD_2007,Undefined,--Specify Region--
UMD_2007,Undefined,--Specify Region--
UMD_2007,Undefined,--Specify Region--
Taipei_2007,Medical,--Specify Region--
Naples_2007,Environment,--Specify Region--
Ljubljana_2007,Medical,--Specify Region--
Missouri_Miners_2007,Energy,--Specify Region--
Dundee_2007,Undefined,--Specify Region--
Princeton_2008,Undefined,US
Glasgow_2007,Environment,--Specify Region--
CSHL_2007,Foundational Research,--Specify Region--
Yeshiva_NYC_2009,Foundational Advance,US
WITS-South_Africa_2010,Health & Medicine,Africa
WITS-CSIR_SA_2011,New Application,Europe
UTP-Software_2012,Software Tools,Latin America
Yale_2013,Manufacturing,North America
Yale_2014,Manufacturing,North America
WLC-Milwaukee_2014,Food & Nutrition,North America
WPI-Worcester_2014,Health & Medicine,North America
William_and_Mary_2014,Foundational Advance,North America
Waterloo_2014,Health & Medicine,North America
WashU_StLouis_2014,Environment,North America
Virginia_2014,Environment,North America
Washington_2014,Foundational Advance,North America
VictoriaBC_2014,Community Labs,North America
Vanderbilt_Software_2014,Software,North America
Vanderbilt_MF_2014,Microfluidics,North America
Vanderbilt_2014,Manufacturing,North America
UTK-Knoxville_2014,Measurement,North America
Utah_State_2014,Manufacturing,North America
UT-Dallas_2014,Health & Medicine,North America
uOttawa_2014,Measurement,North America
UNC-Chapel_Hill_2014,Health & Medicine,North America
UMBC-Maryland_2014,Environment,North America
UMaryland_2014,Environment,North America
UIUC_Illinois_2014,Food & Nutrition,North America
UGA-Georgia_2014,New Application,North America
UC_Santa_Barbara_2014,New Application,North America
UC_Davis_2014,Food & Nutrition,North America
UCSF_UCB_2014,Information Processing,North America
UCSD_Software_2014,Software,North America
UCLA_2014,Manufacturing,North America
UCSC_2014,Energy,North America
UChicago_2014,Manufacturing,North America
UC-Santa_Cruz-BioE_2014,Energy,North America
Tufts_2014,Health & Medicine,North America
Toronto_2014,Environment,North America
The_Tech_Museum_2014,Community Labs,North America
Stony_Brook_2014,Health & Medicine,North America
StanfordBrownSpelman_2014,New Application,North America
RHIT_2014,Foundational Advance,North America
Rutgers_2014,Foundational Advance,North America
SF_Bay_Area_DIYbio_2014,Community Labs,North America
Queens_Canada_2014,Foundational Advance,North America
Purdue_2014,Food & Nutrition,North America
Pitt_2014,Health & Medicine,North America
Penn_State_2014,Foundational Advance,North America
Northwestern_2014,Foundational Advance,North America
OU_Norman_2014,Energy,North America
Penn_2014,Environment,North America
Nevada_2014,Foundational Advance,North America
MIT_2014,Health & Medicine,North America
Missouri_Miners_2014,Environment,North America
Missouri-Columbia_2014,Entrepreneurship,North America
Minnesota_2014,Environment,North America
McGill_2014,Undefined,North America
Michigan_Software_2014,Software,North America
Michigan_2014,Health & Medicine,North America
Lethbridge_2014,Health & Medicine,North America
LA_Biohackers_2014,Community Labs,North America
IvyTech_SouthBend_IN_2014,Environment,North America
Hendrix_Arkansas_2014,Health & Medicine,North America
Harvard_BioDesign_2014,Foundational Advance,North America
Greensboro_Aggies_2014,Art & Design,North America
GES_NCSU_Raleigh_NC_2014,Policy & Practices,North America
Georgia_State_2014,Health & Medicine,North America
Harrisburg_NBT_2014,Environment,North America
GeorgiaTech_2014,Foundational Advance,North America
Genspace_2014,Community Labs,North America
Gaston_Day_School_2014,Environment,North America
Example_2_2014,Undefined,North America
Duke_2014,Foundational Advance,North America
CU-Boulder_2014,Health & Medicine,North America
CSU_Fort_Collins_2014,Manufacturing,North America
Cooper_Union_2014,Foundational Advance,North America
Concordia_2014,Foundational Advance,North America
Cornell_2014,Environment,North America
Clemson_2014,Health & Medicine,North America
Carnegie_Mellon_2014,Environment,North America
BYU_Provo_2014,Health & Medicine,North America
Caltech_2014,Foundational Advance,North America
Calgary_2014,Health & Medicine,North America
BUGSS_Baltimore_2014,Community Labs,North America
British_Columbia_2014,New Application,North America
BostonU_2014,Measurement,North America
Austin_Texas_2014,Measurement,North America
ArtCenter_MDP_2014,Art & Design,North America
agroecology_2014,Undefined,North America
Arizona_State_2014,Energy,North America
Zamorano_2014,Policy & Practices,Latin America
Virtus-Parva_Mexico_2014,New Application,Latin America
UNAM_Genomics_2014,Health & Medicine,Latin America
UMayor-Chile_2014,Health & Medicine,Latin America
UFMG_Brazil_2014,Health & Medicine,Latin America
UFAM_Brazil_2014,Environment,Latin America
UANL_Mty-Mexico_2014,Information Processing,Latin America
