Date,RFP Control,sgRNA Control,sgRNA Modified
16,24802.21774,3554.368421,6410.405488
16,25861.39583,11215.5,5253.013889
16,14401.02083,5273.875,5932.625
16,22818.75368,8756,12715.83967
16,17819.04464,17909.4875,4448.672619
16,18179.91406,10399.98864,6375.306452
16,9031.6625,13215.41667,7571.032258
16,49959.37083,2844.181818,4388.394531
16,42024.61337,3929.2,4929.8125
16,20341.83333,6470.269565,20774.19485
16,10242.84211,41.72727273,6065.756098
16,12920.7875,2430.7625,9663.863372
16,25224.56707,9436.698529,2443.569079
16,21369.30233,2651.494048,5438.444444
16,30977.19444,5280.909722,6681.263158
16,14864.12037,9570.3,6642.423077
16,1500.923077,2991.978571,7115.038793
16,7443.878571,9158.284483,21885.65972
16,3434.64,4633.095238,4576.517857
16,11929.24074,1250.098214,17830.35135
16,23448.7,11362.24671,4001.089286
16,10680.625,12622.17262,16653.69485
16,49112.67021,8577.058333,15093.3883
16,33694.34375,4244.577586,6602.262931
16,21045.97222,8558.693182,6141.382143
16,15682.67647,6643.716346,8088.176471
16,17622.18548,9800.732843,3467
16,1433.839286,6710.116379,10412.83871
16,12063.35417,12921.47629,3854.754032
16,9246.148438,21350.72917,5383.384615
16,13541,5698.458333,4463.665441
16,6488.132813,7801.566667,7596.724138
16,15832,6749.793103,3262.761364
16,5872.21875,9842.693548,36705.65909
16,14740.875,5301.074219,3516.346154
16,22174.45066,1692.042683,5088.265152
16,40310.9375,340.7067308,22057.27679
16,3355.625,18319.80682,4158.572917
16,30146.13971,14074.22222,29103.4375
16,9440.666667,6323.69,7171.648148
16,2525.258621,3361.723214,6094.136364
16,10660.94565,7381.117647,6637.37037
16,6791.255435,10555.04911,6918.047414
16,26785.22984,3153.12963,8290.654762
16,19521.76786,12385.525,5178.857759
16,32899.55128,13257.25781,3118.5625
16,10875.77778,5940.953125,7106
16,22324.5,12024.21802,4646.168103
16,15413.35417,10737.61585,4340.336207
16,16315.55172,5508.625,11794.58333
16,7717.791667,16540.2975,5921.270161
16,889,251.4404762,3699.775862
16,9316.108108,3432.25,4508.952586
16,29921.30068,8271.663194,9590.35119
16,9466.107143,8224.639706,8030.956731
16,16528.86161,5922.794643,21344.98958
16,11495.8125,12255.125,2851.736842
16,18884.5,888.5,13653.97635
16,12382.91912,5385.927419,7420.832317
16,1242.703704,6148.310345,6435.257813
16,25474.52273,17878.875,749.0625
16,21649.54286,11769.79435,4255.040323
16,42881.8175,6105.732143,3480.371795
16,39282.34375,10309.90244,8740.517241
16,16371.77273,4198.413793,3784.375
16,4153.125,5115.9,9403.038793
16,13426.86719,3723.144231,3972.080357
16,56212.62868,5483.546875,7309.4
16,16183.99324,5537.022727,5969.2
16,8279.25463,45584.25798,2798.947368
16,8853.368421,1588.317308,22153.59756
16,10790.37069,1990.425,7601.375
16,55551.35185,6439.5,4882.769737
16,11076.03571,4446.655172,11319.79545
16,17777.28618,4887.524194,3627.391667
16,6177.32,14226.84643,27684.39394
16,3522.184524,2526.928571,34582.6125
16,10745,13080.71429,5293.557927
16,10265.61742,12301.71429,14785.68902
16,18189.0625,14616.76744,6504.492188
16,11719.91176,5258.691667,6449.638889
16,13146.36111,6212.87931,6481.30303
16,26919.28629,6941.359375,4432.539474
16,22437,4208.633929,4051.633929
16,9720.851852,3095.525,3851.214286
16,13847.62109,6557.5,7581.607759
16,32474.54688,9075.283654,3204.444444
16,14813.1,4489.576923,2327.444444
16,12114.91429,21804.57895,6030.206897
16,17537.13462,7876.449519,5833.582237
16,17496.04643,6389.413462,3721.267241
16,8870.939655,3609.408333,5522.216216
16,58500.3776,11515.22768,6687.246528
16,4211.875,3890.283537,7103.972973
16,1907.144737,7649.792683,3830.363636
16,1661.984375,3248.735577,4611.357759
16,40966.79167,17168.62222,15971.78846
16,5377.351852,27246.49688,13382.26923
16,9354.382353,25199.04268,6983.133621
16,19264.97115,13599.80189,6078.62963
16,42305.59756,4129.285714,6986.025862
16,27593.67424,7524.157143,7635.394737
16,14462.125,7593.215517,3802.317857
16,8688.361842,6805.691176,6166.609848
16,18233.77778,13823.96809,3892.814815
16,2844.060345,16371.31466,7849.305556
16,14663.69697,7577.402778,2382.601351
16,6899.84,7137.173077,6467
16,8855.742424,3371.344595,8690
16,46590.30585,4051.825758,5743.639423
16,9033.384615,4043.678571,12075.15179
16,17097.56985,21916.57143,10755.13462
16,4068.458333,3869.896552,24230.63514
16,4697.032258,7042.657895,2884.668269
16,41915.38636,9713.961207,10969.93396
16,21118.10938,3675.608108,3691.517241
16,15494.73986,11510.12829,3641.198276
16,16890.1875,4216.875,13545.25
16,23483.08696,8271.21875,3752.84375
16,19042.37879,3975.629032,4516.857143
16,12847.25,8002.155172,7442.8125
16,39913.82759,3402.62963,3468.818966
16,15877.59375,9800.512195,5345.121212
16,12436.705,8185.541667,5197.5
16,22008.47619,6094.275862,10744.84028
16,9900.40625,10659.61029,5041.45
16,1061.5,31029.125,4599.540541
16,9293.646429,7360.398438,4808.97619
16,2948.49569,5698.5,7754.820946
16,25817.26524,4406.9,10030.78309
16,18918.60776,7153.375,266.6625
16,11199.75,11379.125,5368.760135
16,10170.91667,2350.071429,6521.85
16,15404.17241,16326.73958,5705.306452
16,16449.5,6184.666667,8497.015152
16,22787.74632,23980.13571,6643.702703
16,8720.5625,18265.30592,25390.46154
16,15433.19643,7023.536765,4154.52439
16,16893.5,4788.682432,5999.714286
16,64927.5,4630.62037,354
16,9277.208333,6048.568966,5874.094828
16,7716.329545,15845.24286,2970.159091
16,2870.568182,7829.035714,1561.216216
16,9586.310345,4925.571429,10149.51071
16,23073.81081,17547.85714,16541.71667
16,12225.25,6110.434659,7001.172414
16,10558.10714,12051.7621,3288.891892
16,15646.86207,7412.055921,6854.469388
16,19930.06098,4457.125,5416.728571
16,1143.25,10708.64516,3918.4
16,12984.58065,8798.597561,28189.70946
16,16963.72222,23635.75,731.7284483
16,11503.04741,6803.290323,4248.659091
16,12790.16667,7175.289474,10345.65323
16,10679.67857,7121.253289,5563.0625
16,1991.402778,6591.415441,8060.612903
16,35387.75,1444.903846,4536.801724
16,6038.87963,5549.125,5521.784091
16,71256,12323.84848,3859.913793
16,9820.129032,4247.346154,15506.55743
16,21180.25,4159.100962,7302.405172
16,16983.62847,8435.801724,14622.30833
16,15613.57407,4520.073529,7434.40625
16,19211.42578,5126.517241,5052.103448
16,12308.2875,3734.3125,14535.12162
16,34361.75,11312.3883,3389.8
16,16418.34848,4477.060345,7829.714286
16,19459.32143,4575.931034,12907
16,17425.48,11431.15086,6654.194444
16,30613.17434,2470.421429,14244.325
16,14263.5,5042.75,4818.4375
16,8183.882576,2945.7625,5395
16,26303.11607,4752.68,16571.13793
16,9781.342105,4732.472561,37350.27027
16,15271.74013,6964.41875,26805.23889
16,656.4519231,14064.54545,24615.375
16,4722.632813,3707.375,4339.224138
16,23474.9375,9407.189655,3637
16,13433.78571,5365.583333,5140.65625
16,14541.02806,7410.636364,5914.543103
16,24642.40972,5377.885417,15002.44828
16,6012.5,8867.641129,10407.68367
16,1460.142857,26615.91319,15210.4
16,13577.4,6205.0625,15231.15948
16,8144.916667,4198.885714,11303.72727
16,12410.77232,6671.516667,14652.25
16,8686.839286,7362.846774,24059.58621
16,15454,2573.435484,4752.396552
16,16407.11719,4327.333333,12167.35887
16,30623.69512,8430.417763,13691.04444
16,19710.33333,7215.452586,12095.53409
16,12153.5,13939.30952,4981.888889
16,18856.625,11597.04779,20923.90988
16,13692.84191,11343.56122,4852
16,19799.31081,5798.060606,22420.34884
16,14021.29688,3822.546875,13561.25962
16,3769.361111,20890.18182,5749.89881
